road_type,weather,light,traffic,temperature,battery,vehicle_weight,correct_action,predicted_action,verdict
Semi Urban,Rainy,night,high,-3,69,2330.0,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,high,38,68,1975.94,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,day,moderate,4,55,2062.04,Maintain speed,Turn on headlights,Risky
Semi Urban,Foggy,night,no,39,21,2265.55,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,moderate,37,22,1967.73,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,25,96,1701.23,Reduce speed,Pull over,Risky
Highway,Sunny,day,high,20,82,1608.84,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,high,38,54,2057.75,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,no,14,70,2387.04,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,moderate,8,77,1548.52,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,no,18,96,1738.33,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,33,45,2493.14,Reduce speed,Maintain speed,Risky
Semi Urban,Rainy,night,high,-5,12,2035.02,Pull over,Pull over,Optimal
Highway,Rainy,night,high,31,87,2403.7,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,high,18,71,1864.85,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,no,19,27,2469.8,Activate hazard lights,Reduce speed,Risky
Rural,Rainy,day,moderate,22,80,1674.04,Reduce speed,Pull over,Risky
Rural,Foggy,day,no,2,69,1663.44,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,4,95,1740.19,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,high,12,86,2102.33,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,16,83,2127.43,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,no,8,77,2020.51,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,day,no,12,99,2333.78,Maintain speed,Pull over,Risky
Semi Urban,Sunny,day,high,37,58,2050.61,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,27,54,1966.18,Maintain speed,Maintain speed,Optimal
Semi Urban,Snow,day,high,4,69,2151.85,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,no,38,79,1737.42,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,high,12,45,2165.39,Reduce speed,Activate hazard lights,Acceptable
Rural,Sunny,night,no,6,52,1793.04,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,21,32,2332.22,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,moderate,6,75,1524.22,Turn on headlights,Pull over,Risky
Highway,Rainy,night,high,-2,85,2458.69,Reduce speed,Maintain speed,Risky
Rural,Sunny,day,no,12,44,2276.44,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,no,30,19,1996.9,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,day,moderate,28,80,1771.92,Maintain speed,Turn on headlights,Risky
Semi Urban,Foggy,day,moderate,19,51,1679.09,Maintain speed,Pull over,Risky
Rural,Sunny,day,no,-3,47,1612.63,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,high,12,44,1890.56,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,moderate,7,51,1726.87,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,high,16,84,2226.04,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,moderate,8,58,2240.51,Turn on headlights,Pull over,Risky
Highway,Foggy,night,no,28,30,2079.29,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,no,36,69,2312.82,Turn on headlights,Maintain speed,Risky
Semi Urban,Foggy,day,no,-9,31,1941.11,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,day,no,19,31,1522.87,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,moderate,-3,48,2034.21,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,high,1,45,1550.64,Reduce speed,Maintain speed,Risky
Rural,Sunny,day,no,38,86,1869.38,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,19,48,1665.46,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,high,-1,34,1528.6,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,high,23,56,1954.76,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,no,-5,67,2084.57,Turn on headlights,Pull over,Risky
Semi Urban,Rainy,night,high,9,77,1766.9,Reduce speed,Turn on headlights,Risky
Semi Urban,Snow,day,moderate,-1,21,1914.67,Reduce speed,Maintain speed,Risky
Highway,Snow,night,no,-9,100,1953.33,Reduce speed,Pull over,Risky
Rural,Sunny,day,no,-10,97,2477.03,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,no,17,17,2185.4,Activate hazard lights,Activate hazard lights,Optimal
Rural,Rainy,night,moderate,8,31,2436.96,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,night,moderate,12,90,1584.68,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,no,21,35,1519.89,Turn on headlights,Reduce speed,Risky
Highway,Foggy,day,no,5,87,1744.84,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,no,15,98,2018.95,Turn on headlights,Maintain speed,Risky
Rural,Foggy,day,high,34,17,2225.9,Activate hazard lights,Activate hazard lights,Optimal
Highway,Rainy,night,no,-10,87,1501.63,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,high,23,36,1842.01,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,moderate,10,37,1986.77,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,high,-3,30,1599.51,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,no,-5,55,2294.15,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,day,moderate,24,88,2117.09,Maintain speed,Maintain speed,Optimal
Highway,Snow,night,high,-4,15,1513.98,Reduce speed,Maintain speed,Risky
Rural,Foggy,night,high,-9,30,1592.6,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,no,39,31,2491.94,Maintain speed,Turn on headlights,Risky
Highway,Foggy,day,high,15,17,2164.62,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,night,no,6,32,2050.78,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,36,13,2146.7,Pull over,Pull over,Optimal
Rural,Rainy,night,no,28,70,2459.27,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,no,13,59,1595.29,Maintain speed,Activate hazard lights,Risky
Highway,Foggy,night,no,7,32,1866.7,Turn on headlights,Reduce speed,Risky
Highway,Sunny,night,no,13,59,2300.76,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,moderate,34,74,2268.81,Turn on headlights,Maintain speed,Risky
Highway,Rainy,night,high,16,75,1813.74,Reduce speed,Turn on headlights,Risky
Highway,Foggy,night,moderate,13,80,1979.49,Turn on headlights,Maintain speed,Risky
Rural,Sunny,day,no,5,81,1926.57,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,moderate,29,40,1955.06,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,day,moderate,29,89,2463.48,Maintain speed,Activate hazard lights,Risky
Semi Urban,Snow,night,no,-1,74,2074.31,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,no,-7,11,2209.97,Pull over,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,no,11,82,1946.0,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,-8,17,2210.76,Turn on headlights,Pull over,Risky
Highway,Sunny,night,high,22,60,1519.04,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,night,moderate,9,68,2439.9,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,moderate,-2,59,1678.61,Turn on headlights,Pull over,Risky
Rural,Rainy,night,high,-1,40,2274.8,Reduce speed,Reduce speed,Optimal
Highway,Snow,day,no,-1,26,2148.73,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,day,high,33,66,2134.48,Reduce speed,Turn on headlights,Risky
Rural,Rainy,day,moderate,31,61,1980.6,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,1,26,1754.74,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,high,22,67,1926.34,Maintain speed,Turn on headlights,Risky
Highway,Foggy,day,moderate,-10,96,1580.14,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,moderate,16,19,1999.38,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Snow,day,no,4,27,2180.08,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Foggy,night,no,39,59,1891.77,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,high,9,75,1665.35,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,high,16,75,2384.29,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,moderate,19,13,1658.08,Pull over,Turn on headlights,Risky
Rural,Rainy,day,no,-1,84,1859.1,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,no,39,72,2495.15,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,no,36,11,1578.37,Pull over,Pull over,Optimal
Highway,Sunny,night,no,20,10,2169.08,Pull over,Maintain speed,Unsafe
Semi Urban,Rainy,night,high,8,93,1826.53,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,moderate,33,18,1564.63,Reduce speed,Pull over,Risky
Highway,Snow,day,high,-1,62,1705.69,Reduce speed,Reduce speed,Optimal
Rural,Snow,night,no,-10,31,2094.74,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,no,14,25,2360.0,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,no,5,26,1844.87,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,day,moderate,24,87,2081.5,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,-6,68,2104.87,Maintain speed,Reduce speed,Risky
Highway,Rainy,day,high,10,25,1611.41,Reduce speed,Activate hazard lights,Acceptable
Rural,Rainy,day,high,31,89,1803.4,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,moderate,24,79,2164.34,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,24,20,1540.76,Turn on headlights,Pull over,Risky
Semi Urban,Rainy,day,moderate,29,31,1759.31,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,high,-8,16,1564.95,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,no,6,84,1773.91,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,high,16,41,1539.04,Maintain speed,Activate hazard lights,Risky
Rural,Foggy,night,high,27,12,1704.43,Pull over,Pull over,Optimal
Highway,Sunny,night,moderate,17,87,2414.45,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,moderate,3,45,1571.28,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,moderate,0,41,1714.27,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,day,no,10,64,2364.02,Maintain speed,Reduce speed,Risky
Rural,Snow,night,no,2,82,2217.77,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,8,39,2246.92,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,no,-6,59,1672.42,Turn on headlights,Pull over,Risky
Highway,Snow,day,high,-9,12,2409.58,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,day,no,18,14,2253.79,Pull over,Pull over,Optimal
Highway,Sunny,day,moderate,3,56,1514.36,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,no,10,25,2136.44,Activate hazard lights,Activate hazard lights,Optimal
Rural,Sunny,day,high,17,80,2042.45,Maintain speed,Pull over,Risky
Rural,Rainy,day,high,15,85,1602.14,Reduce speed,Maintain speed,Risky
Highway,Sunny,day,high,14,13,2015.89,Pull over,Pull over,Optimal
Semi Urban,Sunny,day,moderate,36,26,1667.43,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Rainy,day,moderate,9,10,1629.01,Pull over,Pull over,Optimal
Highway,Sunny,day,high,7,67,1978.02,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,day,no,-9,24,1973.9,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,night,moderate,9,14,2334.88,Pull over,Pull over,Optimal
Semi Urban,Foggy,day,no,15,30,1561.24,Maintain speed,Activate hazard lights,Risky
Rural,Rainy,day,high,-6,27,1601.95,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,-10,62,2338.28,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,1,37,2007.1,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,20,11,2036.41,Pull over,Pull over,Optimal
Highway,Sunny,night,moderate,38,60,1799.2,Turn on headlights,Pull over,Risky
Semi Urban,Sunny,day,high,39,78,1601.97,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,day,no,3,74,2387.6,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,moderate,18,68,2213.32,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,12,63,2200.81,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,moderate,-3,96,2126.71,Maintain speed,Turn on headlights,Risky
Rural,Sunny,day,high,19,11,1553.73,Pull over,Reduce speed,Risky
Rural,Rainy,night,no,-9,47,1668.62,Turn on headlights,Reduce speed,Risky
Highway,Rainy,night,no,-1,48,2336.72,Turn on headlights,Pull over,Risky
Rural,Foggy,day,high,13,59,2463.65,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,high,38,17,2294.03,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,moderate,24,71,2250.34,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,-3,83,2295.98,Reduce speed,Turn on headlights,Risky
Highway,Foggy,day,moderate,14,57,1536.85,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,moderate,38,74,1922.0,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,-5,85,1583.96,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,high,29,85,1506.82,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,-7,42,1577.49,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,moderate,24,99,1576.02,Reduce speed,Maintain speed,Risky
Semi Urban,Rainy,night,moderate,-4,91,2114.54,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,no,16,25,1678.33,Activate hazard lights,Reduce speed,Risky
Highway,Sunny,night,no,-9,20,2282.47,Turn on headlights,Activate hazard lights,Risky
Rural,Foggy,night,moderate,39,77,1672.81,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,night,no,13,54,2077.31,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,8,42,2211.08,Reduce speed,Pull over,Risky
Rural,Sunny,day,moderate,-5,37,1573.66,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,moderate,-5,52,1945.52,Turn on headlights,Maintain speed,Risky
Rural,Foggy,night,high,19,82,2136.13,Reduce speed,Maintain speed,Risky
Highway,Snow,day,no,0,18,2227.05,Activate hazard lights,Activate hazard lights,Optimal
Highway,Foggy,day,moderate,-9,44,1767.61,Maintain speed,Turn on headlights,Risky
Highway,Sunny,day,high,30,98,1937.76,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,moderate,-4,92,1716.39,Maintain speed,Reduce speed,Risky
Semi Urban,Rainy,night,high,14,79,1867.05,Reduce speed,Maintain speed,Risky
Highway,Rainy,night,moderate,10,77,1813.31,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,day,no,30,86,1557.76,Maintain speed,Reduce speed,Risky
Rural,Sunny,night,no,0,44,2191.01,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,night,moderate,20,10,2032.71,Pull over,Pull over,Optimal
Rural,Sunny,night,moderate,37,98,2378.21,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,high,8,78,2240.06,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,no,14,52,2041.67,Maintain speed,Turn on headlights,Risky
Rural,Sunny,night,no,-2,44,2298.35,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,day,moderate,-10,48,1940.42,Maintain speed,Pull over,Risky
Highway,Foggy,day,moderate,30,47,1740.32,Maintain speed,Maintain speed,Optimal
Rural,Snow,night,no,4,57,1838.21,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,moderate,-4,22,1979.33,Reduce speed,Activate hazard lights,Acceptable
Highway,Rainy,day,high,34,39,2456.91,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,high,-1,14,2120.24,Pull over,Pull over,Optimal
Rural,Rainy,night,moderate,1,40,1594.89,Turn on headlights,Pull over,Risky
Rural,Sunny,day,no,14,51,2246.3,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,day,no,37,16,1723.61,Activate hazard lights,Maintain speed,Risky
Rural,Foggy,night,moderate,33,94,2356.27,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,night,moderate,10,100,1948.61,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,high,8,11,2475.16,Pull over,Pull over,Optimal
Highway,Rainy,day,moderate,9,34,2071.76,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,no,37,79,1681.81,Turn on headlights,Maintain speed,Risky
Highway,Rainy,night,high,6,63,2151.84,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,high,-9,23,1537.43,Activate hazard lights,Reduce speed,Risky
Semi Urban,Rainy,night,no,35,57,1886.44,Turn on headlights,Reduce speed,Risky
Highway,Foggy,day,high,39,10,2032.46,Pull over,Pull over,Optimal
Semi Urban,Sunny,night,high,-3,85,2255.18,Reduce speed,Maintain speed,Risky
Rural,Foggy,day,no,-2,36,2309.69,Maintain speed,Pull over,Risky
Semi Urban,Snow,day,moderate,-9,53,2475.08,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,high,23,92,2468.32,Maintain speed,Pull over,Risky
Highway,Foggy,day,high,-6,26,2126.73,Activate hazard lights,Turn on headlights,Risky
Semi Urban,Sunny,night,moderate,-8,65,2176.24,Turn on headlights,Maintain speed,Risky
Rural,Sunny,night,moderate,7,91,2035.2,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,night,no,1,12,1707.27,Pull over,Activate hazard lights,Acceptable
Rural,Rainy,day,moderate,16,11,1714.97,Pull over,Reduce speed,Risky
Rural,Snow,day,no,-1,21,1757.78,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,night,high,36,63,1703.22,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,high,18,12,2413.7,Pull over,Turn on headlights,Risky
Highway,Rainy,day,high,21,87,2002.13,Reduce speed,Pull over,Risky
Rural,Rainy,night,moderate,1,29,1699.16,Turn on headlights,Pull over,Risky
Rural,Rainy,day,moderate,4,66,1872.01,Reduce speed,Maintain speed,Risky
Rural,Snow,night,no,-10,63,2493.34,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,high,34,61,1616.31,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,31,37,2103.69,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Rainy,night,no,15,18,1696.09,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Foggy,night,no,11,52,1903.81,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,high,33,69,2403.73,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,no,18,16,1655.78,Activate hazard lights,Reduce speed,Risky
Highway,Sunny,day,high,34,17,2354.86,Activate hazard lights,Activate hazard lights,Optimal
Rural,Foggy,night,high,5,85,1761.86,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,night,moderate,7,80,2379.25,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,night,no,17,48,2102.59,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,no,30,79,2388.93,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,moderate,32,86,1524.83,Maintain speed,Maintain speed,Optimal
Rural,Snow,night,high,-8,77,2039.3,Reduce speed,Turn on headlights,Risky
Highway,Foggy,night,no,4,80,1627.09,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,night,no,38,46,1698.6,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,moderate,7,46,2283.08,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,no,22,97,2071.14,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,moderate,13,49,2134.63,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,high,28,89,2007.77,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,high,15,100,1905.87,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,night,moderate,35,26,1800.43,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,moderate,24,17,1562.17,Reduce speed,Pull over,Risky
Highway,Foggy,night,no,19,91,1725.8,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,night,no,5,53,2367.25,Turn on headlights,Maintain speed,Risky
Semi Urban,Rainy,night,moderate,-5,41,2281.01,Turn on headlights,Maintain speed,Risky
Highway,Sunny,night,moderate,19,59,2264.65,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,-3,71,1663.61,Turn on headlights,Reduce speed,Risky
Rural,Sunny,night,no,2,72,1691.46,Turn on headlights,Reduce speed,Risky
Highway,Rainy,night,moderate,29,34,1787.46,Turn on headlights,Pull over,Risky
Highway,Rainy,day,high,-8,19,1651.91,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,no,2,65,2347.03,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,no,27,67,1652.5,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,day,high,14,44,1771.0,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,no,32,52,1798.48,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Sunny,night,moderate,-8,75,1537.21,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,night,moderate,37,43,1886.66,Turn on headlights,Pull over,Risky
Semi Urban,Snow,day,high,-6,52,1593.75,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,high,-3,36,1860.13,Maintain speed,Reduce speed,Risky
Highway,Foggy,day,moderate,32,58,1611.71,Maintain speed,Activate hazard lights,Risky
Semi Urban,Sunny,night,no,17,37,2078.5,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,no,31,40,2030.27,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,20,14,2146.94,Pull over,Maintain speed,Unsafe
Semi Urban,Foggy,day,moderate,29,26,1748.3,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Snow,night,moderate,-3,96,1969.42,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,high,0,22,2476.1,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,moderate,15,78,1910.45,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Snow,night,high,0,99,1610.96,Reduce speed,Activate hazard lights,Acceptable
Highway,Foggy,day,high,32,76,2218.39,Maintain speed,Reduce speed,Risky
Highway,Sunny,night,no,-7,52,2111.94,Turn on headlights,Reduce speed,Risky
Rural,Foggy,night,moderate,29,43,2050.49,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,no,4,64,1564.61,Maintain speed,Turn on headlights,Risky
Highway,Rainy,day,no,16,22,1790.25,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,night,high,8,86,1777.49,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,high,19,87,2149.38,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,day,high,13,53,2124.06,Reduce speed,Turn on headlights,Risky
Highway,Sunny,day,moderate,30,89,1718.6,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,no,10,79,1738.39,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,moderate,7,26,1556.96,Turn on headlights,Maintain speed,Risky
Highway,Foggy,day,high,11,44,1870.8,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,moderate,1,52,1897.53,Reduce speed,Turn on headlights,Risky
Rural,Foggy,day,high,22,14,1950.31,Pull over,Pull over,Optimal
Rural,Foggy,day,no,22,18,1785.28,Activate hazard lights,Activate hazard lights,Optimal
Rural,Foggy,day,no,39,84,1860.94,Maintain speed,Activate hazard lights,Risky
Rural,Rainy,day,no,17,48,2413.24,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,moderate,10,94,1724.43,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Foggy,night,moderate,3,44,1582.29,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,high,-8,52,1928.92,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,no,3,79,2186.28,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,high,2,25,1897.78,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,30,16,1884.4,Reduce speed,Turn on headlights,Risky
Rural,Rainy,night,moderate,2,73,1893.64,Turn on headlights,Maintain speed,Risky
Rural,Foggy,day,no,21,63,2119.77,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,no,39,23,1555.6,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,moderate,39,66,2496.21,Maintain speed,Pull over,Risky
Semi Urban,Foggy,day,no,5,74,2017.54,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,12,48,1594.77,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Sunny,day,high,27,67,1718.13,Maintain speed,Maintain speed,Optimal
Semi Urban,Snow,night,high,-2,71,1770.65,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,no,26,94,1803.92,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,26,100,2444.87,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,high,6,28,1723.16,Reduce speed,Turn on headlights,Risky
Rural,Foggy,night,no,6,12,2328.04,Pull over,Reduce speed,Risky
Semi Urban,Sunny,night,high,-8,14,2289.05,Pull over,Pull over,Optimal
Highway,Rainy,night,high,22,78,2475.36,Reduce speed,Turn on headlights,Risky
Highway,Rainy,night,high,5,73,2203.86,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,no,16,48,2112.55,Maintain speed,Activate hazard lights,Risky
Semi Urban,Foggy,night,moderate,17,41,2093.0,Turn on headlights,Maintain speed,Risky
Semi Urban,Sunny,night,moderate,39,78,1940.93,Turn on headlights,Maintain speed,Risky
Semi Urban,Snow,day,high,-3,35,2139.35,Reduce speed,Reduce speed,Optimal
Highway,Snow,night,moderate,-6,73,2068.16,Reduce speed,Pull over,Risky
Semi Urban,Snow,day,high,-4,21,1929.46,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,no,28,58,2331.36,Turn on headlights,Activate hazard lights,Risky
Rural,Foggy,day,moderate,23,21,1678.63,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,day,no,-8,50,1734.59,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,no,-2,35,2034.05,Maintain speed,Pull over,Risky
Highway,Sunny,day,no,-1,73,1541.67,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,high,27,28,1684.61,Activate hazard lights,Pull over,Risky
Highway,Sunny,night,moderate,8,80,1789.53,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,moderate,-5,26,1521.5,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,8,63,2420.59,Reduce speed,Maintain speed,Risky
